employee_id,hire_date,department,job_level,education,gender,base_salary,bonus_pct,performance_score,projects_completed,training_hours,remote_days_wk,last_eval_date,attrition_risk
EMP-10000,2020-05-17,Sales,Junior,Master's,Female,49400.0,0.24,3.4,19,87.0,3,2024-01-30,Medium
EMP-10001,2015-07-29,Finance,Junior,PhD,Male,37300.0,0.17,1.9,15,107.0,3,2024-04-02,Low
EMP-10002,2018-12-26,Engineering,Senior,Associate,Female,85400.0,,1.4,7,36.0,4,2024-08-10,Low
EMP-10003,2017-11-24,Finance,Senior,Master's,Female,83200.0,0.1,3.1,27,22.0,1,2024-11-23,High
EMP-10004,2012-03-11,Operations,Manager,PhD,Prefer not to say,132300.0,0.05,3.8,12,81.0,3,2024-03-04,Low
EMP-10005,2014-01-28,Legal,Manager,Master's,Non-binary,135900.0,0.2,3.6,16,87.0,4,2024-01-26,Medium
EMP-10006,2016-07-15,Sales,Junior,High School,Male,52500.0,,3.2,21,57.0,2,2024-03-11,Medium
EMP-10007,2012-08-01,Legal,Mid,PhD,Male,68000.0,0.06,3.9,23,100.0,2,2024-02-06,Medium
EMP-10008,2016-01-29,Finance,Senior,Master's,Female,94000.0,0.19,4.6,20,73.0,3,2024-11-01,Low
EMP-10009,2014-12-01,R&D,Mid,Associate,Female,59100.0,0.13,1.6,0,46.0,3,2024-09-11,Low
EMP-10010,2010-11-28,Legal,Mid,Associate,Male,74600.0,0.04,2.7,2,50.0,3,2024-04-02,Medium
EMP-10011,2019-01-28,Operations,Senior,Associate,Male,86000.0,0.05,2.3,14,104.0,5,2024-01-08,Low
EMP-10012,2010-11-24,Finance,Junior,PhD,,47000.0,0.14,1.3,27,101.0,4,2024-10-14,Low
EMP-10013,2013-08-20,R&D,Director,Associate,Male,167300.0,0.18,3.5,14,43.0,5,2024-03-25,Low
EMP-10014,2019-08-30,Engineering,Junior,Associate,Prefer not to say,38900.0,0.24,3.3,3,66.0,1,2024-09-12,High
EMP-10015,2014-06-11,R&D,Manager,Associate,Female,139400.0,0.06,1.4,5,9.0,3,2024-04-23,Medium
EMP-10016,2016-10-18,HR,Junior,Associate,Male,33700.0,0.09,,23,1.0,4,2024-12-11,Low
EMP-10017,2013-07-03,Legal,Senior,Master's,Female,103300.0,0.13,2.7,7,78.0,3,2024-12-11,Low
EMP-10018,2018-07-17,Sales,Senior,Bachelor's,Female,103700.0,,,11,10.0,1,2024-05-30,High
EMP-10019,2010-11-18,Legal,Junior,High School,Prefer not to say,49600.0,0.08,4.7,24,90.0,0,2024-04-18,Low
EMP-10020,2022-05-22,HR,Junior,Associate,Male,40000.0,0.03,2.8,17,94.0,5,2024-09-30,Low
EMP-10021,2016-12-22,Operations,Senior,PhD,Female,95400.0,0.12,3.0,19,25.0,4,2024-03-22,Medium
